Iteration,Encryption Time,Decryption Time,Verification
0,931360,886505,True
1,653522,957520,True
2,662239,868971,True
3,636780,886916,True
4,635799,867058,True
5,634907,979202,True
6,780654,889140,True
7,640347,865556,True
8,634866,863621,True
9,635668,864023,True
10,686915,867148,True
11,694300,880654,True
12,635688,861618,True
13,632512,861387,True
14,648473,884021,True
15,634626,862679,True
16,638122,917003,True
17,671576,865395,True
18,633554,862299,True
19,633985,862820,True
20,633494,886044,True
21,634005,926781,True
22,634235,864904,True
23,634025,874162,True
24,633634,861658,True
25,632923,862009,True
26,634907,877839,True
27,722794,899480,True
28,635478,862560,True
29,887036,1025439,True
30,687658,872228,True
31,641840,871196,True
32,655145,877067,True
33,637862,862920,True
34,635357,905200,True
35,634696,862489,True
36,648142,941489,True
37,721802,907074,True
38,660776,994050,True
39,668260,870885,True
40,635007,864383,True
41,635188,864954,True
42,681555,1141540,True
43,649875,866116,True
44,635868,865154,True
45,650115,868360,True
46,634356,878399,True
47,653982,881124,True
48,638424,863351,True
49,658141,869923,True
50,633053,880884,True
51,632552,861127,True
52,632502,901153,True
53,749163,888459,True
54,638493,864884,True
55,634616,864643,True
56,631530,875594,True
57,633785,959774,True
58,681896,871918,True
59,635157,863221,True
60,677467,866416,True
61,633864,861817,True
62,633805,861196,True
63,654384,881044,True
64,636811,860786,True
65,631951,860776,True
66,647711,882187,True
67,634285,886014,True
68,648743,979191,True
69,639776,863621,True
70,633915,860085,True
71,632773,890783,True
72,635298,872999,True
73,634305,879491,True
74,674852,874241,True
75,639195,865174,True
76,633403,862469,True
77,634456,863261,True
78,650205,921682,True
79,634907,861738,True
80,633454,865615,True
81,648543,951919,True
82,657520,871195,True
83,633504,876636,True
84,771015,987292,True
85,689661,873730,True
86,637201,863921,True
87,635247,864773,True
88,649434,882066,True
89,633063,891374,True
90,638113,863641,True
91,634275,885062,True
92,748201,893769,True
93,640167,887717,True
94,635878,960535,True
95,645587,864443,True
96,634456,908737,True
97,635648,862579,True
98,634496,863702,True
99,668881,890261,True
100,635659,883068,True
101,634997,881425,True
102,632913,861417,True
103,633894,881255,True
104,678699,870384,True
105,707575,881004,True
106,653482,866637,True
107,634435,863100,True
108,632652,874963,True
109,633434,892286,True
110,655636,925579,True
111,679431,955406,True
112,633995,863070,True
113,635168,878069,True
114,632783,931631,True
115,634867,889520,True
116,631851,872648,True
117,632882,862619,True
118,649645,884030,True
119,633244,860605,True
120,635588,885313,True
121,659684,865124,True
122,634316,874733,True
123,633594,862559,True
124,633343,861708,True
125,674331,871316,True
126,633033,876345,True
127,684000,868461,True
128,635558,864533,True
129,658341,870535,True
130,636920,893728,True
131,635388,883329,True
132,699640,1032281,True
133,652170,870134,True
134,635808,867850,True
135,745747,881095,True
136,637421,862358,True
137,633554,888930,True
138,896474,1015019,True
139,637291,877397,True
140,681535,870474,True
141,633464,862339,True
142,651729,963111,True
143,641239,864252,True
144,634466,932152,True
145,647210,904259,True
146,635497,886344,True
147,637241,862850,True
148,634155,862249,True
149,647932,865204,True
150,719923,1245968,True
151,658802,872769,True
152,635388,863852,True
153,633504,860535,True
154,645237,879211,True
155,647951,893989,True
156,633795,862309,True
157,633865,861658,True
158,664834,898778,True
159,658200,869823,True
160,632503,862469,True
161,634015,864463,True
162,632452,874432,True
163,639866,863250,True
164,633243,861657,True
165,633725,862499,True
166,684912,864483,True
167,634937,862830,True
168,633203,972007,True
169,666657,867068,True
170,634726,862850,True
171,634286,909138,True
172,633494,861587,True
173,631330,861326,True
174,633243,862980,True
175,653492,869743,True
176,632141,886525,True
177,632923,881646,True
178,632513,861808,True
179,633304,861247,True
180,631080,874482,True
181,633423,860585,True
182,655636,863812,True
183,644775,914969,True
184,632071,890302,True
185,648993,866997,True
186,647921,863451,True
187,651218,866597,True
188,633233,881785,True
189,632872,861587,True
190,855209,979821,True
191,677838,870475,True
192,662599,866326,True
193,636941,862880,True
194,649174,873299,True
195,635668,870053,True
196,633905,873911,True
197,631771,894700,True
198,644825,862649,True
199,657019,868812,True
