Iteration,Encryption Time,Decryption Time,Verification
0,50376,71777,True
1,22884,13846,True
2,17483,13225,True
3,24517,16872,True
4,40257,15880,True
5,21712,15690,True
6,21160,13365,True
7,18426,12154,True
8,20209,17503,True
9,18275,12223,True
10,17354,11662,True
11,16792,11512,True
12,22663,20729,True
13,17964,11832,True
14,17504,11963,True
15,16422,12083,True
16,16943,11973,True
17,16382,11422,True
18,17784,11422,True
19,17503,11823,True
20,17534,11552,True
21,20900,14277,True
22,20038,13746,True
23,20009,15119,True
24,19988,11221,True
25,25138,16982,True
26,21502,14978,True
27,17684,12023,True
28,16682,12223,True
29,15650,10700,True
30,17474,11542,True
31,15490,10871,True
32,17604,11562,True
33,16401,11212,True
34,17394,15249,True
35,16461,11392,True
36,14979,11291,True
37,19868,13405,True
38,17854,12223,True
39,15690,11572,True
40,17294,11763,True
41,21662,15059,True
42,20539,13917,True
43,20399,14257,True
44,19408,13646,True
45,17363,11542,True
46,16922,11251,True
47,18446,11622,True
48,16542,11342,True
49,14778,10911,True
50,18746,11622,True
51,15490,15239,True
52,17273,11653,True
53,17784,11613,True
54,16732,11943,True
55,16011,11462,True
56,14638,11292,True
57,16702,11743,True
58,16521,11622,True
59,14337,10840,True
60,17383,12254,True
61,15961,11692,True
62,14668,11452,True
63,19317,14007,True
64,17835,12854,True
65,17594,12313,True
66,16772,11853,True
67,14919,11081,True
68,19637,13957,True
69,17173,13516,True
70,17584,12744,True
71,16752,12534,True
72,24196,13867,True
73,18024,13225,True
74,16592,12244,True
75,15270,11672,True
76,25539,14057,True
77,25710,14448,True
78,18676,12915,True
79,15149,11913,True
80,22102,14799,True
81,16211,12164,True
82,16191,11843,True
83,14938,11452,True
84,20600,15099,True
85,21421,15299,True
86,19808,14708,True
87,20389,14297,True
88,16602,12013,True
89,24046,16922,True
90,20930,15870,True
91,17053,12053,True
92,16311,11732,True
93,14598,11632,True
94,22513,15680,True
95,19577,15089,True
96,20589,14508,True
97,20289,14929,True
98,18234,14207,True
99,19698,14448,True
100,17764,12915,True
101,16882,12764,True
102,18155,12725,True
103,17544,12544,True
104,16181,11983,True
105,16561,12615,True
106,17253,11322,True
107,21792,14959,True
108,26380,20800,True
109,26751,20599,True
110,17032,11452,True
111,15560,11342,True
112,22773,15129,True
113,21410,14939,True
114,20599,14577,True
115,21060,14448,True
116,20149,11712,True
117,16792,11892,True
118,22413,15259,True
119,16472,14558,True
120,18135,11502,True
121,17043,11582,True
122,17383,11752,True
123,14978,11963,True
124,23134,41650,True
125,21852,12584,True
126,16932,11492,True
127,15610,11231,True
128,21802,14277,True
129,20249,13967,True
130,20830,14268,True
131,20660,14017,True
132,20439,14027,True
133,16281,11282,True
134,16141,11091,True
135,14638,10680,True
136,18505,12574,True
137,17373,12394,True
138,17524,11402,True
139,36560,14147,True
140,16231,11432,True
141,22032,14758,True
142,20439,14087,True
143,16953,11251,True
144,17003,10871,True
145,14918,10941,True
146,16651,10881,True
147,16171,11491,True
148,14908,10871,True
149,16752,10861,True
150,24858,17003,True
151,16953,12534,True
152,15891,11562,True
153,20239,14127,True
154,17714,12203,True
155,107505,16021,True
156,20619,14387,True
157,16662,11733,True
158,16622,11432,True
159,14718,11432,True
160,16492,11853,True
161,15760,11382,True
162,14668,11032,True
163,22322,15599,True
164,16261,11572,True
165,16762,11622,True
166,16642,12163,True
167,16542,11682,True
168,15940,11672,True
169,14347,11512,True
170,19657,14507,True
171,17915,13305,True
172,20699,14147,True
173,20139,15209,True
174,15910,11552,True
175,14548,11222,True
176,23996,17614,True
177,18165,12924,True
178,36069,13225,True
179,16261,15740,True
180,15029,12224,True
181,22212,16020,True
182,20138,14828,True
183,19757,14598,True
184,16051,11923,True
185,14758,11763,True
186,16581,11803,True
187,17073,12163,True
188,17263,12194,True
189,16451,12484,True
190,24306,18315,True
191,21772,12815,True
192,16602,11953,True
193,17003,12143,True
194,14799,11392,True
195,19026,14367,True
196,19327,13856,True
197,16712,12564,True
198,19447,14588,True
199,17433,13395,True
