Iteration,Encryption Time,Decryption Time,Verification
0,48753,37932,True
1,52870,36649,True
2,56858,40837,True
3,32942,25879,True
4,58190,46018,True
5,45396,35267,True
6,47731,42310,True
7,49555,46548,True
8,50055,42611,True
9,58110,45958,True
10,88708,35117,True
11,62208,47410,True
12,30709,25118,True
13,108226,35979,True
14,58341,39616,True
15,35017,26681,True
16,47460,40056,True
17,33885,37401,True
18,28805,35838,True
19,30037,33443,True
20,31760,35206,True
21,28394,32742,True
22,31139,36439,True
23,28464,31610,True
24,32502,410260,True
25,25649,27903,True
26,25839,32882,True
27,28104,36770,True
28,28914,29466,True
29,27623,30658,True
30,47611,43021,True
31,24767,29907,True
32,26591,27763,True
33,46739,47710,True
34,37752,31550,True
35,29997,33604,True
36,34665,37421,True
37,28294,34366,True
38,25068,28815,True
39,29246,33194,True
40,39425,35658,True
41,27953,27752,True
42,27642,39004,True
43,24226,27753,True
44,36008,36219,True
45,25168,28664,True
46,24026,27032,True
47,30698,37662,True
48,23785,27642,True
49,22833,26851,True
50,28614,30448,True
51,29496,34085,True
52,38914,31750,True
53,43693,34776,True
54,25969,29376,True
55,26791,30789,True
56,24516,29947,True
57,45527,39415,True
58,26340,35177,True
59,50105,30629,True
60,47400,54083,True
61,36188,31079,True
62,45948,37120,True
63,46288,38684,True
64,45947,36540,True
65,29146,34205,True
66,49554,37160,True
67,29936,30678,True
68,43563,38313,True
69,40377,38042,True
70,35327,29456,True
71,29035,28815,True
72,29496,36239,True
73,33103,35227,True
74,25098,37942,True
75,29777,66887,True
76,57319,31510,True
77,51057,38664,True
78,31489,30518,True
79,36760,38012,True
80,44365,44154,True
81,28324,31981,True
82,47290,39054,True
83,44534,35948,True
84,32101,35237,True
85,45607,39826,True
86,41880,37672,True
87,43322,39375,True
88,28614,30197,True
89,38203,30108,True
90,31640,40086,True
91,30097,37732,True
92,35357,38814,True
93,35227,39345,True
94,32281,36640,True
95,30588,36510,True
96,28804,34155,True
97,32862,35057,True
98,44625,40637,True
99,27673,35026,True
100,28484,31089,True
101,40887,39946,True
102,29526,35507,True
103,31390,33303,True
104,30748,34436,True
105,28324,39465,True
106,28313,32431,True
107,30168,37842,True
108,33073,36430,True
109,33583,38002,True
110,33884,37962,True
111,26630,35017,True
112,33374,31570,True
113,24868,52861,True
114,31740,42010,True
115,47540,35297,True
116,39846,35116,True
117,35137,38764,True
118,41750,33754,True
119,33644,29195,True
120,40026,36830,True
121,44254,40016,True
122,27332,39735,True
123,37922,35788,True
124,26681,29676,True
125,35367,41990,True
126,25118,29727,True
127,34315,34325,True
128,29306,33885,True
129,27843,36920,True
130,35408,34115,True
131,28354,28284,True
132,28905,24096,True
133,29066,38413,True
134,53592,33294,True
135,30488,58581,True
136,30959,54884,True
137,34546,41238,True
138,30248,29286,True
139,48302,35788,True
140,34004,37421,True
141,33744,37411,True
142,38513,25108,True
143,29756,36089,True
144,29927,34746,True
145,28895,32172,True
146,26751,30588,True
147,22363,22673,True
148,22092,21571,True
149,33553,38924,True
150,27282,36910,True
151,32281,32872,True
152,38794,38132,True
153,36439,37170,True
154,31610,30748,True
155,26460,36309,True
156,37511,39696,True
157,40436,42260,True
158,36249,38383,True
159,32913,36600,True
160,30638,36640,True
161,30899,35558,True
162,37942,24166,True
163,41619,32442,True
164,31510,37802,True
165,26300,34095,True
166,29726,34867,True
167,36630,29666,True
168,35858,32722,True
169,28003,23414,True
170,26701,23434,True
171,20619,22323,True
172,21681,22303,True
173,36088,29296,True
174,27182,22583,True
175,37101,36700,True
176,33784,36659,True
177,39966,32292,True
178,24617,31439,True
179,29806,39976,True
180,29456,39816,True
181,37862,24577,True
182,81535,34656,True
183,39715,41319,True
184,25268,37701,True
185,26270,33313,True
186,27272,31490,True
187,26290,32131,True
188,32522,41018,True
189,24537,22463,True
190,21731,22152,True
191,21991,22633,True
192,21340,21881,True
193,22573,22894,True
194,21421,22052,True
195,26089,22433,True
196,23094,22764,True
197,22182,22222,True
198,23745,22322,True
199,23024,21681,True
200,20308,21531,True
201,27613,23966,True
202,33082,34736,True
203,26991,23865,True
204,27332,24096,True
205,50916,41469,True
206,41058,36109,True
207,40807,44044,True
208,30298,41680,True
209,40087,34355,True
210,28143,23444,True
211,38283,35417,True
212,33634,34276,True
213,35337,30588,True
214,28785,33804,True
215,27642,34215,True
216,27312,23024,True
217,22513,22413,True
218,27452,39746,True
219,22904,22743,True
220,24006,22513,True
221,31039,22944,True
222,22302,22543,True
223,27242,22292,True
224,37671,39475,True
225,32602,25358,True
226,37231,29947,True
227,42631,31810,True
228,29687,37592,True
229,41699,29736,True
230,41348,30949,True
231,46709,34506,True
232,31249,32242,True
233,49303,31520,True
234,23184,26350,True
235,41970,39004,True
236,22754,25739,True
237,37321,29386,True
238,22442,25839,True
239,47871,39225,True
240,33844,30057,True
241,40257,33884,True
242,43984,33143,True
243,25829,27773,True
244,27673,38082,True
245,22372,30598,True
246,28965,23294,True
247,35587,34025,True
248,31419,26531,True
249,41328,27462,True
250,37541,29265,True
251,41248,35557,True
252,55987,34616,True
253,37411,32512,True
254,23465,27352,True
255,41149,29416,True
256,42441,35707,True
257,20258,21000,True
258,39695,32242,True
259,38784,33574,True
260,22573,26380,True
261,40757,29646,True
262,26711,29726,True
263,34666,29426,True
264,38703,32833,True
265,35457,23284,True
266,38834,23544,True
267,34415,28253,True
268,36299,32522,True
269,28073,22734,True
270,23404,26070,True
271,43773,33564,True
272,33373,33744,True
273,34726,31510,True
274,31620,31580,True
275,24897,32332,True
276,33604,29265,True
277,27382,27051,True
278,35237,24667,True
279,25218,22412,True
280,32101,23314,True
281,24115,21832,True
282,37341,22552,True
283,21090,20619,True
284,23645,21291,True
285,21131,20860,True
286,21671,21351,True
287,20529,21300,True
288,24968,26340,True
289,20699,21120,True
290,25969,25949,True
291,18806,20378,True
292,20700,20028,True
293,20459,20969,True
294,18535,19647,True
295,18656,20068,True
296,30267,26219,True
297,25428,25939,True
298,24837,25929,True
299,23304,24757,True
